"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","mean","median","sd","outlier"
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,139.61,4.07827778299201e-06,-9.22280242254927e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,139.61,3.24066790269982e-06,-1.73778982424536e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,FALSE
